ROS Time,Behaviour
02:53: 48,Spinning
02:53: 53,Spinning
02:56: 37,Spinning
02:56: 42,Spinning
02:56: 44,Spinning
02:56: 49,Spinning
02:57: 07,Pausing
02:57: 12,Pausing
02:57: 18,Spinning
02:57: 23,Spinning
02:57: 36,Spinning
02:57: 41,Spinning
02:59: 18,Pausing
02:59: 23,Pausing
02:59: 41,Pausing
02:59: 46,Pausing
02:59: 59,Spinning
03:00: 04,Spinning
03:01: 02,Spinning
03:01: 07,Spinning
03:01: 10,Spinning
03:01: 15,Spinning
03:01: 28,Spinning
03:01: 33,Spinning
03:01: 40,Spinning
03:01: 45,Spinning
03:02: 22,Pausing
03:02: 27,Pausing
03:03: 56,Pausing
03:04: 01,Pausing
03:04: 14,Pausing
03:04: 19,Pausing
