1.15,0,96,50,0
2.16,0,55,50,0
3.16,1,47,50,0
4.16,1,13,50,0
5.16,1,2,50,0
6.16,0,74,45,0
7.16,1,13,45,0
8.16,1,24,45,0
9.16,1,22,50,1
10.17,1,18,50,1
11.17,0,67,50,1
12.17,1,36,50,1
13.17,0,82,50,1
14.17,0,99,45,1
15.17,1,6,45,1
16.17,1,9,45,1
17.17,0,80,45,1
18.17,0,74,45,1
19.18,1,45,45,1
20.18,1,31,40,2
21.18,0,72,40,2
22.18,1,37,40,2
23.18,0,84,40,2
24.18,0,87,40,2
25.18,0,86,40,3
26.19,0,54,35,3
27.19,1,19,35,3
28.19,0,37,35,3
29.19,0,40,35,3
30.19,1,23,35,3
31.19,1,18,35,3
32.19,0,95,30,3
33.19,1,11,30,3
34.19,0,35,30,3
35.2,0,99,30,3
36.2,0,95,30,3
37.2,0,32,30,3
38.2,0,94,25,4
39.2,0,49,25,4
40.2,0,65,25,4
41.2,0,77,25,4
42.21,0,75,25,4
43.21,0,40,25,4
44.21,0,87,20,4
45.21,0,53,20,4
46.21,0,65,20,4
47.21,0,67,20,4
48.21,0,82,20,4
49.21,1,13,20,4
50.22,0,36,15,4
51.22,1,14,15,4
52.22,0,75,15,4
53.22,0,37,15,4
54.22,1,6,15,4
55.22,0,37,15,4
56.22,0,22,10,4
57.23,0,32,10,4
58.23,0,35,10,4
59.23,0,21,10,4
60.23,0,96,10,4
61.23,0,48,10,4
62.23,0,49,5,4
63.23,0,24,5,4
64.23,0,49,5,4
65.24,0,23,5,4
66.24,0,42,5,4
67.24,0,16,5,4
68.24,0,65,0,4
69.24,0,91,0,4
70.24,0,69,0,4
71.24,0,75,0,4
72.24,0,33,0,4
73.24,0,77,0,4
74.25,0,76,0,4
75.25,0,26,0,4
76.25,0,100,0,4
77.25,0,48,0,4
78.25,0,6,0,4
79.25,0,90,0,4
80.26,0,52,0,4
81.26,0,15,0,4
82.26,0,56,0,4
83.26,0,13,0,4
84.26,0,30,0,4
85.26,0,50,0,4
86.26,0,99,0,4
87.26,0,42,0,4
88.27,0,97,0,4
89.27,0,45,0,4
90.27,0,61,0,4
91.27,0,52,0,4
92.27,0,28,0,4
93.27,0,36,0,4
94.27,0,47,0,4
95.28,0,83,0,4
96.28,0,56,0,4
97.28,0,11,0,4
98.28,0,59,0,4
99.28,0,38,0,4
100.28,0,67,0,4
101.28,0,42,0,4
102.28,0,91,0,4
103.28,0,29,0,4
104.29,0,4,0,4
105.29,0,61,0,4
106.29,0,55,0,4
107.29,0,45,0,4
108.29,0,57,0,4
109.29,0,9,0,4
110.29,0,52,0,4
111.3,0,88,0,4
112.3,0,14,0,4
113.3,0,79,0,4
114.3,0,68,0,4
115.3,0,7,0,4
116.3,0,37,0,4
117.3,0,33,0,4
118.3,0,41,0,4
119.3,0,100,0,4
120.3,0,64,0,4
121.31,0,33,0,4
122.31,0,64,0,4
123.31,0,12,0,4
124.31,0,82,0,4
125.31,0,48,0,4
126.31,0,18,0,4
127.31,0,8,0,4
128.32,0,70,0,4
129.32,0,98,0,4
130.32,0,5,0,4
131.32,0,44,0,4
132.32,0,25,0,4
133.32,0,28,0,4
134.32,0,95,0,4
135.32,0,89,0,4
136.33,0,27,0,4
137.33,0,91,0,4
138.33,0,65,0,4
139.33,0,33,0,4
140.33,0,30,0,4
141.33,0,19,0,4
142.33,0,76,0,4
143.34,0,12,0,4
144.34,0,98,0,4
145.34,0,11,0,4
146.34,0,76,0,4
147.34,0,99,0,4
148.34,0,87,0,4
149.34,0,25,0,4
150.35,0,97,0,4
151.35,0,60,0,4
152.35,0,76,0,4
153.35,0,98,0,4
154.35,0,72,0,4
155.35,0,91,0,4
156.35,0,77,0,4
157.35,0,56,0,4
158.36,0,80,0,4
159.36,0,83,0,4
160.36,0,17,0,4
161.36,0,99,0,4
162.36,0,95,0,4
163.36,0,43,0,4
164.36,0,79,0,4
165.37,0,67,0,4
166.37,0,59,0,4
167.37,0,74,0,4
168.37,0,56,0,4
169.37,0,98,0,4
170.37,0,64,0,4
171.37,0,18,0,4
172.37,0,75,0,4
173.38,0,87,0,4
174.38,0,23,0,4
175.38,0,4,0,4
176.38,0,57,0,4
177.38,0,97,0,4
178.38,0,96,0,4
179.38,0,92,0,4
180.38,0,10,0,4
181.38,0,63,0,4
182.39,0,23,0,4
183.39,0,56,0,4
184.39,0,90,0,4
185.39,0,98,0,4
186.39,0,71,0,4
187.39,0,49,0,4
188.39,0,93,0,4
189.39,0,61,0,4
190.4,0,13,0,4
191.4,0,90,0,4
192.4,0,2,0,4
193.4,0,100,0,4
194.4,0,74,0,4
195.4,0,95,0,4
196.4,0,94,0,4
197.41,0,43,0,4
198.41,0,87,0,4
199.41,0,53,0,4
200.41,0,99,0,4
201.41,0,81,0,4
202.41,0,77,0,4
203.41,0,32,0,4
204.42,0,52,0,4
205.42,1,0,0,4
206.42,0,91,0,4
