ROS Time,Behaviour
02:54: 15,Pausing
02:54: 20,Pausing
02:54: 56,Pausing
02:55: 01,Pausing
02:55: 20,Pausing
02:55: 25,Pausing
02:55: 27,Spinning
02:55: 32,Spinning
02:56: 42,Pausing
02:56: 47,Pausing
02:56: 48,Spinning
02:56: 53,Spinning
02:56: 54,Spinning
02:56: 59,Spinning
02:57: 22,Spinning
02:57: 27,Spinning
02:58: 21,Pausing
02:58: 26,Pausing
02:59: 21,Spinning
02:59: 26,Spinning
02:59: 29,Spinning
02:59: 34,Spinning
02:59: 57,Pausing
03:00: 02,Pausing
03:00: 39,Pausing
03:00: 44,Pausing
03:01: 01,Pausing
03:01: 06,Pausing
03:01: 25,Spinning
03:01: 30,Spinning
03:02: 51,Pausing
03:02: 56,Pausing
03:03: 14,Spinning
03:03: 19,Spinning
