ROS Time,Behaviour
02:53: 44,Spinning
02:53: 49,Spinning
02:53: 55,Spinning
02:54: 00,Spinning
02:54: 08,Spinning
02:54: 13,Spinning
02:54: 21,Spinning
02:54: 26,Spinning
02:54: 28,Pausing
02:54: 33,Pausing
02:54: 49,Pausing
02:54: 54,Pausing
02:54: 54,Pausing
02:54: 59,Pausing
02:54: 59,Pausing
02:55: 04,Pausing
02:55: 24,Spinning
02:55: 29,Spinning
02:55: 38,Pausing
02:55: 43,Pausing
02:55: 45,Spinning
02:55: 50,Spinning
02:55: 57,Spinning
02:56: 02,Spinning
02:56: 05,Pausing
02:56: 10,Pausing
02:56: 16,Spinning
02:56: 21,Spinning
02:56: 25,Spinning
02:56: 30,Spinning
02:56: 31,Spinning
02:56: 36,Spinning
02:56: 37,Spinning
02:56: 42,Spinning
02:56: 58,Pausing
02:57: 03,Pausing
02:57: 03,Spinning
02:57: 08,Spinning
02:57: 09,Spinning
02:57: 14,Spinning
02:57: 28,Pausing
02:57: 33,Pausing
02:58: 32,Pausing
02:58: 37,Pausing
02:58: 37,Spinning
02:58: 42,Spinning
02:58: 43,Pausing
02:58: 48,Pausing
02:58: 48,Spinning
02:58: 53,Spinning
02:59: 10,Spinning
02:59: 15,Spinning
02:59: 25,Spinning
02:59: 30,Spinning
02:59: 38,Pausing
02:59: 43,Pausing
02:59: 43,Spinning
02:59: 48,Spinning
02:59: 55,Pausing
03:00: 00,Pausing
03:00: 07,Spinning
03:00: 12,Spinning
03:00: 29,Pausing
03:00: 34,Pausing
03:00: 35,Pausing
03:00: 40,Pausing
03:00: 40,Spinning
03:00: 45,Spinning
03:00: 45,Pausing
03:00: 50,Pausing
03:01: 02,Spinning
03:01: 07,Spinning
03:01: 08,Spinning
03:01: 13,Spinning
03:01: 18,Pausing
03:01: 23,Pausing
03:01: 25,Spinning
03:01: 30,Spinning
03:01: 53,Pausing
03:01: 58,Pausing
03:02: 13,Spinning
03:02: 18,Spinning
03:02: 23,Spinning
03:02: 28,Spinning
03:02: 37,Spinning
03:02: 42,Spinning
03:03: 01,Pausing
03:03: 06,Pausing
03:03: 06,Spinning
03:03: 11,Spinning
03:03: 11,Pausing
03:03: 16,Pausing
03:03: 25,Pausing
03:03: 30,Pausing
03:03: 30,Spinning
03:03: 35,Spinning
03:03: 35,Spinning
03:03: 40,Spinning
03:03: 44,Pausing
03:03: 49,Pausing
03:03: 49,Pausing
03:03: 54,Pausing
03:03: 55,Pausing
03:04: 00,Pausing
03:04: 04,Pausing
03:04: 09,Pausing
03:04: 09,Spinning
03:04: 14,Spinning
03:04: 50,Spinning
03:04: 55,Spinning
