ROS Time,Behaviour
02:53: 44,Pausing
02:53: 49,Pausing
02:54: 23,Spinning
02:54: 28,Spinning
02:54: 28,Spinning
02:54: 33,Spinning
02:54: 38,Spinning
02:54: 43,Spinning
02:54: 43,Pausing
02:54: 48,Pausing
02:55: 28,Pausing
02:55: 33,Pausing
02:55: 33,Pausing
02:55: 38,Pausing
02:55: 58,Pausing
02:56: 03,Pausing
02:56: 03,Spinning
02:56: 08,Spinning
02:56: 08,Spinning
02:56: 13,Spinning
02:56: 28,Spinning
02:56: 33,Spinning
02:56: 38,Pausing
02:56: 43,Pausing
02:56: 46,Pausing
02:56: 51,Pausing
02:56: 52,Spinning
02:56: 57,Spinning
02:57: 05,Pausing
02:57: 10,Pausing
02:57: 11,Pausing
02:57: 16,Pausing
02:57: 36,Pausing
02:57: 41,Pausing
02:58: 02,Pausing
02:58: 07,Pausing
02:58: 18,Pausing
02:58: 23,Pausing
02:58: 24,Pausing
02:58: 29,Pausing
02:58: 38,Spinning
02:58: 43,Spinning
02:58: 49,Spinning
02:58: 54,Spinning
02:59: 03,Pausing
02:59: 08,Pausing
02:59: 09,Pausing
02:59: 14,Pausing
02:59: 30,Spinning
02:59: 35,Spinning
02:59: 44,Spinning
02:59: 49,Spinning
02:59: 50,Spinning
02:59: 55,Spinning
02:59: 55,Spinning
03:00: 00,Spinning
03:00: 05,Spinning
03:00: 10,Spinning
03:00: 10,Spinning
03:00: 15,Spinning
03:00: 20,Spinning
03:00: 25,Spinning
03:00: 25,Spinning
03:00: 30,Spinning
03:00: 39,Pausing
03:00: 44,Pausing
03:00: 44,Pausing
03:00: 49,Pausing
03:00: 51,Pausing
03:00: 56,Pausing
03:00: 57,Pausing
03:01: 02,Pausing
03:01: 03,Pausing
03:01: 08,Pausing
03:01: 08,Pausing
03:01: 13,Pausing
03:01: 13,Spinning
03:01: 18,Spinning
03:01: 30,Spinning
03:01: 35,Spinning
03:01: 45,Pausing
03:01: 50,Pausing
03:01: 58,Spinning
03:02: 03,Spinning
03:02: 07,Pausing
03:02: 12,Pausing
03:02: 18,Spinning
03:02: 23,Spinning
03:02: 27,Spinning
03:02: 32,Spinning
03:02: 57,Spinning
03:03: 02,Spinning
03:03: 04,Spinning
03:03: 09,Spinning
03:03: 16,Spinning
03:03: 21,Spinning
03:03: 53,Pausing
03:03: 58,Pausing
03:04: 35,Pausing
03:04: 40,Pausing
