ROS Time,Behaviour
02:53: 44,Spinning
02:53: 49,Spinning
02:54: 05,Pausing
02:54: 10,Pausing
02:54: 21,Spinning
02:54: 26,Spinning
02:54: 52,Spinning
02:54: 57,Spinning
02:55: 05,Spinning
02:55: 10,Spinning
02:55: 46,Pausing
02:55: 51,Pausing
02:56: 05,Spinning
02:56: 10,Spinning
02:56: 54,Spinning
02:56: 59,Spinning
02:57: 31,Pausing
02:57: 36,Pausing
02:58: 09,Spinning
02:58: 14,Spinning
02:58: 45,Pausing
02:58: 50,Pausing
02:59: 16,Pausing
02:59: 21,Pausing
02:59: 21,Pausing
02:59: 26,Pausing
03:00: 54,Pausing
03:00: 59,Pausing
03:03: 08,Spinning
03:03: 13,Spinning
03:03: 52,Pausing
03:03: 57,Pausing
03:04: 16,Spinning
03:04: 21,Spinning
03:04: 33,Pausing
03:04: 38,Pausing
