ROS Time,Behaviour
02:54: 19,Spinning
02:54: 24,Spinning
02:55: 32,Pausing
02:55: 37,Pausing
02:55: 38,Pausing
02:55: 43,Pausing
02:55: 56,Pausing
02:56: 01,Pausing
02:56: 18,Pausing
02:56: 23,Pausing
02:56: 24,Spinning
02:56: 29,Spinning
02:56: 36,Pausing
02:56: 41,Pausing
02:57: 13,Spinning
02:57: 18,Spinning
02:57: 26,Spinning
02:57: 31,Spinning
02:58: 04,Pausing
02:58: 09,Pausing
02:58: 45,Spinning
02:58: 50,Spinning
02:59: 37,Spinning
02:59: 42,Spinning
03:01: 17,Pausing
03:01: 22,Pausing
