ROS Time,Behaviour
02:55: 37,Spinning
02:55: 42,Spinning
02:57: 20,Spinning
02:57: 25,Spinning
02:57: 30,Spinning
02:57: 35,Spinning
02:58: 30,Spinning
02:58: 35,Spinning
02:59: 26,Pausing
02:59: 31,Pausing
03:00: 22,Pausing
03:00: 27,Pausing
03:00: 36,Spinning
03:00: 41,Spinning
03:00: 48,Spinning
03:00: 53,Spinning
03:01: 21,Spinning
03:01: 26,Spinning
03:01: 37,Spinning
03:01: 42,Spinning
03:02: 43,Spinning
03:02: 48,Spinning
03:03: 12,Pausing
03:03: 17,Pausing
03:04: 24,Spinning
03:04: 29,Spinning
03:04: 36,Pausing
03:04: 41,Pausing
03:04: 45,Pausing
03:04: 50,Pausing
